3.5351,5.9212e-16,2.0512e-15
3.5619,5.3291e-16,1.8157e-15
3.5886,4.1448e-16,1.5945e-15
3.6154,4.737e-16,1.6115e-15
3.6421,5.9212e-16,2.0512e-15
3.6689,5.3291e-16,2.0414e-15
3.6957,5.9212e-16,1.8853e-15
3.7224,5.3291e-16,1.8157e-15
3.7492,4.1448e-16,1.8474e-15
3.7759,4.1448e-16,1.5945e-15
3.8027,4.1448e-16,2.1722e-15
3.8294,4.737e-16,1.8621e-15
3.8562,7.1054e-16,2.2177e-15
3.8829,7.1054e-16,2.2177e-15
3.9097,6.5133e-16,2.0056e-15
3.9365,7.1054e-16,2.3603e-15
3.9632,4.737e-16,2.234e-15
3.99,3.5527e-16,1.7076e-15
4,5.9212e-16,1.8853e-15
4,0,0
4.0268,0,0
4.0535,2.3685e-16,9.0135e-16
4.0803,2.3685e-16,9.0135e-16
4.107,2.3685e-16,1.2973e-15
4.1338,3.5527e-16,1.4302e-15
4.1605,3.5527e-16,1.4302e-15
4.1873,2.3685e-16,9.0135e-16
4.214,3.5527e-16,1.4302e-15
4.2408,4.737e-16,1.8027e-15
4.2676,5.9212e-16,1.8853e-15
4.2943,7.1054e-16,2.3603e-15
4.3211,7.1054e-16,2.3603e-15
4.3478,9.4739e-16,3.7242e-15
4.3746,1.0658e-15,4.0828e-15
4.4013,8.2897e-16,3.189e-15
4.4281,9.4739e-16,3.223e-15
4.4548,9.4739e-16,3.223e-15
4.4816,1.0658e-15,3.7494e-15
4.5084,9.4739e-16,3.223e-15
4.5351,9.4739e-16,3.223e-15
4.5619,9.4739e-16,3.223e-15
4.5886,8.2897e-16,3.189e-15
4.6154,9.4739e-16,3.6054e-15
4.6421,8.2897e-16,2.7493e-15
4.6689,9.4739e-16,3.223e-15
4.6957,1.0658e-15,3.6315e-15
4.7224,9.4739e-16,3.223e-15
4.7492,9.4739e-16,2.9405e-15
4.7759,1.0658e-15,3.3833e-15
4.8027,1.0658e-15,3.3833e-15
4.8294,1.1842e-15,3.7706e-15
4.8562,1.1842e-15,3.7706e-15
4.8829,1.1842e-15,3.6534e-15
4.9097,1.3027e-15,4.2226e-15
4.9365,1.1842e-15,3.6534e-15
4.9632,1.1842e-15,3.6534e-15
4.99,1.1842e-15,3.6534e-15
5,1.3027e-15,4.0111e-15
5,0,0
5.0268,0,0
5.0535,0,0
5.0803,0,0
5.107,0,0
5.1338,0,0
5.1605,0,0
5.1873,0,0
5.214,0,0
5.2408,0,0
5.2676,0,0
5.2943,0,0
5.3211,0,0
5.3478,0,0
5.3746,0,0
5.4013,0,0
5.4281,0,0
5.4548,0,0
5.4816,0,0
5.5084,0,0
5.5351,0,0
5.5619,0,0
5.5886,0,0
5.6154,0,0
5.6421,0,0
5.6689,0,0
5.6957,0,0
5.7224,0,0
5.7492,0,0
5.7759,0,0
5.8027,0,0
5.8294,0,0
5.8562,0,0
5.8829,0,0
5.9097,0,0
5.9365,0,0
5.9632,0,0
5.99,0,0
6,0,0
6,0,0
6.0268,0,0
6.0535,0,0
6.0803,0,0
6.107,0,0
6.1338,0,0
6.1605,0,0
6.1873,0,0
6.214,0,0
6.2408,0,0
6.2676,0,0
6.2943,0,0
6.3211,0,0
6.3478,0,0
6.3746,0,0
6.4013,0,0
6.4281,0,0
6.4548,1.1842e-16,6.4863e-16
6.4816,1.1842e-16,6.4863e-16
6.5084,0,0
6.5351,1.1842e-16,6.4863e-16
6.5619,0,0
6.5886,1.1842e-16,6.4863e-16
6.6154,0,0
6.6421,1.1842e-16,6.4863e-16
6.6689,0,0
6.6957,0,0
6.7224,0,0
6.7492,-1.1842e-16,6.4863e-16
6.7759,0,0
6.8027,0,0
6.8294,0,0
6.8562,0,0
6.8829,0,0
6.9097,0,0
6.9365,0,0
6.9632,0,0
6.99,0,0
7,0,0
7,0,0
7.0268,-2.3685e-16,1.2973e-15
7.0535,0,1.866e-15
7.0803,0,1.866e-15
7.107,0,1.866e-15
7.1338,0,1.866e-15
7.1605,2.3685e-16,1.2973e-15
7.1873,0,1.866e-15
7.214,2.3685e-16,2.9405e-15
7.2408,2.3685e-16,2.9405e-15
7.2676,2.3685e-16,2.9405e-15
7.2943,2.3685e-16,2.9405e-15
7.3211,4.737e-16,2.5945e-15
7.3478,7.1054e-16,3.8918e-15
7.3746,4.737e-16,2.5945e-15
7.4013,7.1054e-16,2.8605e-15
